machines;jobs;heuristic_time;total_time;gap;nbeb;opt;ub
3;13;3;70;0;2;517;1235
2;10;2;2;0;0;1250;2227
4;20;5;6;0;0;16675;53925
3;15;3;3;0;0;17584;44699
2;12;2;2;0;0;825;1467
2;10;2;2;0;0;1250;2227
3;6;1;1;0;0;153;305
3;15;3;4;0;0;17584;44699
2;10;2;2;0;0;1250;2227
2;5;1;1;0;0;1181;1274
3;6;1;1;0;0;153;305
3;6;1;1;0;0;153;305
3;20;5;5;0;0;1002;2437
2;12;2;2;0;0;825;1467
3;15;3;3;0;0;17584;44699
3;15;3;3;0;0;17584;44699
3;20;5;5;0;0;1002;2437
3;11;2;2;0;0;294;666
5;9;2;2;0;0;6231;18476
3;15;3;3;0;0;17584;44699
2;8;1;1;0;0;326;540
3;13;3;3;0;0;517;1235
3;6;1;1;0;0;153;305
3;6;1;1;0;0;153;305
3;25;8;8;0;0;1466;3846
3;20;5;5;0;0;1002;2437
2;12;2;2;0;0;825;1467
4;20;5;6;0;0;16675;53925
3;20;5;5;0;0;1002;2437
2;8;1;1;0;0;326;540
3;6;1;1;0;0;153;305
3;20;5;5;0;0;1002;2437
3;15;3;3;0;0;17584;44699
2;5;1;1;0;0;1181;1274
5;9;2;2;0;0;6231;18476
2;10;2;2;0;0;1250;2227
2;12;2;2;0;0;825;1467
3;20;5;5;0;0;1002;2437
3;9;2;2;0;0;382;865
3;11;2;2;0;0;294;666
3;20;5;5;0;0;1002;2437
4;20;5;6;0;0;16675;53925
3;25;7;8;0;0;1466;3846
3;9;2;2;0;0;382;865
3;9;2;2;0;0;382;865
3;13;3;33;0;1;517;1235
5;9;2;2;0;0;6231;18476
2;12;2;3;0;0;825;1467
3;6;1;1;0;0;153;305
2;8;1;1;0;0;326;540
3;15;3;3;0;0;17584;44699
2;5;1;1;0;0;1181;1274
4;20;5;6;0;0;16675;53925
3;15;3;4;0;0;17584;44699
3;20;5;5;0;0;1002;2437
5;9;2;2;0;0;6231;18476
3;11;2;2;0;0;294;666
4;20;5;5;0;0;16675;53925
2;8;1;1;0;0;326;540
3;13;3;42;0;1;517;1235
5;9;2;2;0;0;6231;18476
3;9;2;2;0;0;382;865
2;5;1;1;0;0;85;134
2;10;2;2;0;0;1250;2227
3;11;2;2;0;0;294;666
2;12;2;2;0;0;825;1467
5;9;2;2;0;0;6231;18476
5;9;2;2;0;0;6231;18476
3;9;2;2;0;0;382;865
3;20;5;5;0;0;1002;2437
2;12;2;2;0;0;825;1467
2;12;2;2;0;0;825;1467
2;5;1;1;0;0;1181;1274
2;5;1;1;0;0;85;134
2;10;2;13;0;1;1250;2227
2;5;1;1;0;0;1181;1274
4;20;5;5;0;0;16675;53925
2;12;2;2;0;0;825;1467
2;10;2;2;0;0;1250;2227
2;8;2;2;0;0;326;540
4;20;5;6;0;0;16675;53925
3;20;5;18;0;1;1002;2437
3;20;5;5;0;0;1002;2437
2;5;1;1;0;0;85;134
5;9;2;2;0;0;6231;18476
3;9;2;2;0;0;382;865
3;13;3;6;0;1;517;1235
2;12;2;2;0;0;825;1467
2;5;1;1;0;0;1181;1274
5;9;2;2;0;0;6231;18476
3;13;3;17;0;2;517;1235
2;5;1;1;0;0;85;134
2;8;1;2;0;0;326;540
3;11;2;5;0;1;294;666
3;13;3;3;0;0;517;1235
3;6;1;1;0;0;153;305
4;20;5;6;0;0;16675;53925
2;10;1;1;0;0;1250;2227
3;11;1;1;0;0;294;666
2;10;1;1;0;1;1250;2227
2;5;0;0;0;0;1181;1274
3;6;1;1;0;0;153;305
2;5;1;1;0;0;1181;1274
4;20;5;6;0;0;16675;53925
5;9;2;2;0;0;6231;18476
3;15;4;4;0;0;17584;44699
3;7;1;1;0;0;199;389
2;8;2;2;0;0;326;540
2;5;1;1;0;0;85;134
3;15;3;4;0;0;17584;44699
2;10;2;2;0;1;1250;2227
4;20;5;6;0;0;16675;53925
2;5;1;1;0;0;1181;1274
3;20;5;5;0;1;1002;2437
2;8;1;1;0;0;326;540
2;10;2;2;0;0;1250;2227
3;15;3;4;0;0;17584;44699
2;12;2;2;0;1;825;1467
2;10;2;2;0;0;1250;2227
3;7;1;1;0;0;199;389
2;5;1;1;0;0;85;134
3;6;1;1;0;0;153;305
5;9;2;2;0;0;6231;18476
2;8;1;1;0;0;326;540
5;9;3;3;0;0;6231;18476
2;5;1;1;0;0;85;134
2;12;2;2;0;0;825;1467
3;6;1;1;0;0;153;305
3;25;8;8;0;0;1466;3846
2;12;2;2;0;0;825;1467
2;10;2;2;0;0;1250;2227
3;13;3;3;0;0;517;1235
3;9;2;2;0;0;382;865
2;10;2;2;0;0;1250;2227
3;6;1;1;0;0;153;305
2;8;1;2;0;0;326;540
2;5;1;1;0;0;1181;1274
3;15;3;3;0;0;17584;44699
2;12;2;2;0;0;825;1467
3;15;3;4;0;0;17584;44699
3;7;1;1;0;0;199;389
3;25;7;7;0;0;1466;3846
3;20;4;4;0;0;1002;2437
3;7;1;1;0;0;199;389
3;15;3;3;0;0;17584;44699
5;9;2;3;0;0;6231;18476
3;20;5;5;0;1;1002;2437
2;10;2;2;0;0;1250;2227
3;9;2;2;0;0;382;865
3;25;7;8;0;0;1466;3846
3;20;4;5;0;1;1002;2437
2;5;1;1;0;0;85;134
3;7;1;1;0;0;199;389
2;5;1;1;0;0;1181;1274
3;6;1;1;0;0;153;305
3;9;2;2;0;0;382;865
3;15;4;4;0;0;17584;44699
2;5;1;1;0;0;1181;1274
3;15;3;3;0;0;17584;44699
2;10;2;2;0;0;1250;2227
3;9;2;2;0;0;382;865
3;25;8;8;0;0;1466;3846
4;20;5;6;0;0;16675;53925
3;20;5;5;0;0;1002;2437
3;20;5;11;0;1;1002;2437
2;8;1;1;0;0;326;540
3;9;1;1;0;0;382;865
4;20;5;6;0;0;16675;53925
2;10;2;2;0;0;1250;2227
3;25;8;8;0;0;1466;3846
2;5;1;1;0;0;85;134
2;10;2;3;0;1;1250;2227
3;6;1;1;0;0;153;305
3;9;2;2;0;0;382;865
4;20;5;6;0;0;16675;53925
3;20;2;2;0;0;1002;2437
3;7;0;0;0;0;199;389
5;9;1;1;0;0;6231;18476
3;9;1;1;0;0;382;865
2;5;0;0;0;0;85;134
2;5;0;0;0;0;1181;1274
2;8;1;1;0;0;326;540
2;10;1;1;0;0;1250;2227
3;11;1;1;0;0;294;666
4;20;2;3;0;0;16675;53925
3;9;1;1;0;0;382;865
2;10;1;1;0;0;1250;2227
5;9;1;1;0;0;6231;18476
3;20;2;2;0;0;1002;2437
5;9;2;2;0;0;6231;18476
2;8;0;0;0;0;326;540
2;10;1;1;0;0;1250;2227
2;5;0;0;0;0;1181;1274
3;6;0;0;0;0;153;305
2;5;0;0;0;0;85;134
2;5;1;1;0;0;85;134
3;13;3;3;0;0;517;1235
3;20;5;5;0;0;1002;2437
2;5;1;1;0;0;85;134
5;9;3;3;0;0;6231;18476
2;5;1;1;0;0;1181;1274
2;5;1;1;0;0;85;134
2;5;1;1;0;0;1181;1274
2;8;1;2;0;0;326;540
2;12;2;2;0;0;825;1467
4;20;5;6;0;0;16675;53925
3;20;5;5;0;0;1002;2437
2;5;1;1;0;0;85;134
2;12;2;5;0;1;825;1467
3;15;3;4;0;0;17584;44699
5;9;2;3;0;0;6231;18476
3;13;3;4;0;1;517;1235
2;12;2;2;0;0;825;1467
4;20;5;6;0;0;16675;53925
2;5;1;1;0;0;1181;1274
3;13;3;3;0;0;517;1235
2;10;2;2;0;0;1250;2227
