machines;jobs;heuristic_time;total_time;gap;nbeb;opt;ub
3;40;22;23;0;0;58219;164936
3;50;32;33;0;0;82416;231693
4;30;13;13;0;0;24850;89050
5;40;24;26;0;0;290258;1211266
3;40;21;25;0;0;352172;960795
4;20;5;6;0;0;48514;140941
5;20;5;6;0;0;9956;40291
4;20;5;5;0;0;11988;40907
3;50;33;38;0;0;647445;1803075
4;20;6;6;0;0;10891;36917
4;20;5;6;0;0;13056;44736
4;50;35;36;0;0;66717;249353
4;20;5;6;0;0;105138;329480
5;40;25;27;0;0;380634;1624557
5;20;6;6;0;0;14261;54121
5;50;37;43;0;0;407691;1758729
5;40;24;25;0;0;27154;114904
3;30;11;12;0;0;329097;886065
3;40;21;21;0;0;64057;177988
4;50;34;36;0;0;67198;250875
3;50;32;34;0;0;91020;260770
4;50;36;37;0;0;55151;198714
5;20;5;6;0;0;78338;286852
3;40;20;23;0;0;359206;974671
4;20;5;5;0;0;8639;27306
5;50;39;39;0;0;49406;225422
5;20;5;5;0;0;6494;23872
3;20;5;5;0;0;17664;45342
4;20;5;5;0;0;10864;36931
3;30;11;12;0;0;32515;88041
4;40;22;28;0;0;356907;1254811
4;20;5;33;0;1;12801;43886
3;20;5;5;0;0;105188;263725
4;40;22;23;0;0;42403;155891
4;40;23;23;0;0;38833;137247
4;40;22;23;0;0;36501;128745
5;50;39;40;0;0;50304;229181
3;30;11;12;0;0;35063;94577
4;40;22;24;0;0;294160;1028229
3;30;11;12;0;0;205581;544591
4;50;35;36;0;0;55735;202344
5;50;38;43;0;0;317698;1355594
4;30;13;13;0;0;24242;86651
5;30;13;13;0;0;19114;77067
4;20;5;6;0;0;97410;299790
4;50;36;43;0;0;641757;2341593
5;20;5;6;0;0;10843;41434
4;20;5;5;0;0;9946;33573
5;20;5;6;0;0;11318;42362
4;50;35;41;0;0;464130;1661621
4;20;5;5;0;0;9904;31552
3;40;20;21;0;0;56168;155284
4;50;35;41;0;0;546240;1971946
4;50;36;36;0;0;49591;178709
5;40;25;76;0;1;318672;1344491
4;40;22;23;0;0;41902;148296
4;50;36;38;0;0;74279;278169
5;50;39;39;0;0;58076;256759
5;50;38;39;0;0;52932;233557
5;50;38;40;0;0;55257;252300
4;30;13;14;0;0;26951;96413
4;20;5;5;0;0;10308;35037
5;20;5;6;0;0;9471;38126
3;30;11;12;0;0;31611;85241
4;50;35;37;0;0;67311;251336
5;30;13;13;0;0;18972;75201
4;50;35;36;0;0;80765;295958
3;20;5;5;0;0;10009;25412
4;30;14;14;0;0;34209;118302
4;50;38;39;0;0;69723;253501
3;20;5;5;0;0;15162;39108
4;30;12;14;0;0;170784;572075
4;30;12;12;0;0;21923;78401
5;40;11;12;0;0;34618;148135
4;20;5;5;0;0;6723;20537
5;20;5;6;0;0;9463;38287
4;20;5;5;0;0;10777;33994
5;30;13;15;0;0;126288;494189
3;40;21;22;0;0;56940;157805
5;40;25;25;0;0;33521;149574
3;30;11;12;0;0;31940;86345
3;40;21;22;0;0;59804;169722
5;20;5;5;0;0;9662;35463
3;40;20;24;0;0;383369;1055383
4;20;5;6;0;0;84373;263909
4;30;12;15;0;0;170496;562645
3;50;32;34;0;0;79639;227953
3;20;5;5;0;0;159759;411090
4;50;36;37;0;0;59254;221173
4;30;12;13;0;0;25550;91145
5;30;13;14;0;0;17866;76807
4;50;35;37;0;0;67525;252398
5;40;25;25;0;0;34280;153303
4;40;22;23;0;0;40727;149360
3;40;22;24;0;0;50697;143588
3;20;5;5;0;0;14069;37655
3;40;21;25;0;0;547611;1513022
3;50;33;34;0;0;84783;238293
4;50;36;41;0;0;499766;1803241
5;50;39;53;0;0;368245;1592270
4;30;12;14;0;0;127975;425203
3;20;5;5;0;0;13659;34532
3;50;34;41;0;0;444173;1235114
4;40;24;24;0;0;37532;132950
3;20;5;6;0;0;135318;347364
3;40;20;21;0;0;52061;147383
4;50;35;43;0;0;512837;1841408
3;50;34;36;0;0;84953;243333
4;20;5;5;0;0;14531;47529
5;40;24;25;0;0;37037;165603
3;20;5;5;0;0;15898;42668
4;20;5;6;0;0;103982;320370
5;30;13;14;0;0;20364;87788
5;40;27;29;0;0;344087;1476929
5;40;24;29;0;1;40663;174624
4;40;23;24;0;0;48831;179696
5;50;38;39;0;0;54228;247715
3;50;33;35;0;0;85722;245473
3;30;11;11;0;0;28471;76587
3;30;12;14;0;0;246977;663524
4;40;22;30;0;0;280401;977101
5;20;5;5;0;0;10868;40532
3;50;32;40;0;0;568571;1575034
4;40;23;24;0;0;42586;151067
5;50;38;39;0;0;58281;256882
4;50;36;42;0;0;443231;1589194
3;30;12;12;0;0;31376;84878
5;30;14;17;0;0;200093;810620
3;40;22;23;0;0;50040;141618
4;30;13;14;0;0;228625;781978
3;30;12;12;0;0;23211;62432
4;40;24;28;0;0;249942;868628
3;30;12;13;0;0;211344;562834
4;30;13;13;0;0;16440;54555
5;40;25;25;0;0;30431;128409
3;20;5;5;0;0;10984;27753
4;30;13;14;0;0;196283;660789
5;30;6;8;8.999999999883585;1;173769;706772
3;30;12;13;0;0;274209;737904
5;40;24;36;0;1;41876;179320
4;40;22;23;0;0;36607;129264
4;20;5;5;0;0;11530;39141
4;50;35;37;0;0;61448;229607
5;40;24;24;0;0;32400;137909
4;50;36;38;0;0;62598;233532
4;20;5;5;0;0;11382;38657
5;50;38;40;0;0;50039;228565
5;20;5;37;0;1;18289;71939
3;40;20;59;0;0;249963;678592
3;50;34;40;0;0;636350;1775668
5;40;24;26;0;0;323186;1370608
4;40;23;23;0;0;40124;142283
3;50;32;33;0;0;82166;235460
3;30;12;12;0;0;30239;81607
5;20;5;6;0;0;68539;245605
4;30;12;19;3.999999999970896;1;185361;620924
3;20;5;5;0;0;15206;39405
3;20;5;5;0;0;13487;36144
3;20;5;5;0;0;12256;31568
4;30;12;13;0;0;22335;75707
5;40;24;25;0;0;24195;101139
5;50;39;44;0;0;441900;1929276
4;40;25;25;0;0;41159;145871
5;50;37;39;0;0;55112;251472
3;20;5;5;0;0;12110;31313
3;20;5;5;0;0;14187;36502
3;20;5;5;0;0;12541;32363
5;50;39;40;0;0;53875;245640
5;20;5;6;0;0;12112;46096
3;40;21;22;0;0;53075;146587
4;20;6;6;0;0;73313;220128
4;40;23;24;0;0;41972;153962
5;20;6;6;0;0;10212;41149
5;20;6;6;0;0;10876;41020
3;30;11;14;0;0;249957;666499
5;50;39;40;0;0;54560;249185
3;20;5;5;0;0;117851;300628
3;40;20;21;0;0;56937;161182
4;50;34;35;0;0;66554;241924
3;40;21;24;0;0;408855;1124541
5;40;24;26;0;0;265104;1118329
4;20;5;5;0;0;12218;41457
5;40;24;24;0;0;33912;144003
5;40;24;28;0;0;210772;880090
5;40;24;28;0;0;331760;1403877
4;40;22;24;0;0;277889;968181
3;50;16;18;0;0;89592;256578
3;40;10;15;0;0;520486;1439188
4;50;17;18;0;0;68197;254880
4;20;2;3;0;0;115008;361751
3;30;5;6;0;0;28227;75929
3;30;6;7;0;0;237257;635152
4;50;17;18;0;0;52359;188842
5;20;2;3;0;0;71589;248713
5;30;6;8;0;0;166607;662037
3;50;17;18;0;0;91251;256680
4;50;17;21;0;0;485719;1744483
3;30;6;7;0;0;155567;406821
4;40;11;12;0;0;44862;165149
5;40;11;12;0;0;40614;175241
5;50;18;20;0;0;51692;236041
5;20;2;3;0;1;9832;39703
3;30;5;7;0;0;300183;806182
3;30;5;7;0;0;212317;561928
4;30;6;6;0;0;23903;81861
5;50;19;20;0;0;45805;200359
4;50;18;23;0;0;412964;1477999
4;50;18;19;0;0;52449;189118
5;20;3;3;0;0;10984;41141
